SampleId_1404,Region_1404,Group_1404,OriginalSampleName_1404,SampleId_1394,Region_1394,Group_1394,OriginalSampleName_1394,Distance,SameRegion
16,اراک,G4,04-6,27,خراسان رضوی,G6,94-26,547.4465996941079,False
16,اراک,G4,04-6,28,خراسان رضوی,G6,94-27,1329.0815989804191,False
16,اراک,G4,04-6,29,خراسان رضوی,G6,94-28,892.0906792271834,False
16,اراک,G4,04-6,34,فارس,G7,94-30,1018.1768825210312,False
16,اراک,G4,04-6,36,فارس,G7,94-32,1319.496857859019,False
16,اراک,G4,04-6,37,قم,G8,94-33,865.9795913589344,False
16,اراک,G4,04-6,39,یزد,G9,94-35,910.0453506995759,False
16,اراک,G4,04-6,40,یزد,G9,94-36,1054.2899643710373,False
17,اراک,G4,04-7,1,سمنان,G1,94-1,954.4649868920867,False
17,اراک,G4,04-7,2,سمنان,G1,94-2,987.3881359130884,False
17,اراک,G4,04-7,4,اصفهان,G2,94-5,1160.4935109397488,False
17,اراک,G4,04-7,9,زنجان,G3,94-7,1292.7050410771956,False
17,اراک,G4,04-7,10,زنجان,G3,94-8,1830.1101687114722,False
17,اراک,G4,04-7,13,اراک,G4,94-9,1275.1600435614814,True
17,اراک,G4,04-7,20,خراسان شمالی,G5,94-13,1936.7118736520367,False
17,اراک,G4,04-7,24,خراسان رضوی,G6,94-21,1650.5339862468513,False
17,اراک,G4,04-7,25,خراسان رضوی,G6,94-22,1243.0250119809402,False
17,اراک,G4,04-7,26,خراسان رضوی,G6,94-25,1683.684398881574,False
17,اراک,G4,04-7,27,خراسان رضوی,G6,94-26,891.011115502568,False
17,اراک,G4,04-7,28,خراسان رضوی,G6,94-27,1862.5440046603978,False
17,اراک,G4,04-7,29,خراسان رضوی,G6,94-28,937.5469516733679,False
17,اراک,G4,04-7,34,فارس,G7,94-30,1708.28514895167,False
17,اراک,G4,04-7,36,فارس,G7,94-32,1192.5443524287846,False
17,اراک,G4,04-7,37,قم,G8,94-33,1173.8128605659358,False
17,اراک,G4,04-7,39,یزد,G9,94-35,1485.2331784156286,False
17,اراک,G4,04-7,40,یزد,G9,94-36,651.7833971092745,False
