ppm,reference_mean,target_mean,mean_difference,standardized_effect,absolute_effect
6.40295,2.961717938303528,-0.316434011594102,-3.27815194989763,-23.828097095121663,23.828097095121663
6.40795,2.827467204671554,-0.3165692152195538,-3.1440364198911075,-23.309968614948733,23.309968614948733
6.36795,3.8029225940008087,-0.29284443931115683,-4.095767033311965,-23.075897673635918,23.075897673635918
5.56096,3.5029754493538885,-0.36727492971188314,-3.8702503790657716,-23.051935273767043,23.051935273767043
6.40395,2.9135135053382806,-0.31684694529196933,-3.2303604506302497,-22.935827074948254,22.935827074948254
6.40895,2.7480629333665676,-0.31221306790054487,-3.0602760012671126,-22.774524423540296,22.774524423540296
6.40695,2.8698890749841137,-0.3164879969614976,-3.1863770719456115,-21.632608157160412,21.632608157160412
6.36695,3.8139751355200833,-0.28671413306564264,-4.100689268585726,-21.54695718642018,21.54695718642018
5.62696,0.7539238493807641,-0.3663090867999197,-1.1202329361806838,-21.066519428831224,21.066519428831224
5.56396,3.5191459238338823,-0.37142800332299974,-3.8905739271568818,-20.88884250123252,20.88884250123252
5.56296,3.511517230463671,-0.3717183691477307,-3.8832355996114014,-20.48675525246095,20.48675525246095
5.56196,3.4970055525157973,-0.3666884435284612,-3.8636939960442582,-20.301031697701575,20.301031697701575
6.41095,2.6374581453368955,-0.30723970171122356,-2.944697847048119,-20.28554378340792,20.28554378340792
5.62796,0.7021131254201504,-0.37117296593023735,-1.0732860913503877,-20.174868141161063,20.174868141161063
5.61396,1.0762307905832829,-0.36886568912178297,-1.4450964797050658,-20.06951170920836,20.06951170920836
6.36895,3.738888356608369,-0.30348525805522697,-4.042373614663596,-19.894587908387656,19.894587908387656
6.40995,2.6652729702538407,-0.31344166738463214,-2.9787146376384728,-19.745693994993676,19.745693994993676
6.36995,3.8042383387107996,-0.30426361025307175,-4.108501948963871,-19.739835795708654,19.739835795708654
6.40495,2.858186331948062,-0.3171589918123155,-3.1753453237603773,-19.424124321513926,19.424124321513926
5.53996,3.1031420164131505,-0.36947221319033846,-3.4726142296034888,-19.128679639819264,19.128679639819264
6.41195,2.5778575001817066,-0.30662340023847456,-2.884480900420181,-18.706851550548148,18.706851550548148
5.62596,0.8235804792029184,-0.36211144107138393,-1.1856919202743024,-18.46193974480414,18.46193974480414
5.56496,3.491434115690992,-0.3714399078976365,-3.8628740235886285,-18.380890653736234,18.380890653736234
6.41495,2.5004676081106654,-0.30999135445652487,-2.81045896256719,-18.34633559519945,18.34633559519945
6.36595,3.748126052643636,-0.27600256560183845,-4.0241286182454745,-18.30175279624967,18.30175279624967
6.40595,2.87163125088381,-0.31307225012886786,-3.184703501012678,-17.719225679179704,17.719225679179704
6.41395,2.4879465139669428,-0.30424843635844256,-2.7921949503253853,-17.68094224188605,17.68094224188605
6.41295,2.491097278003028,-0.3023595124934699,-2.793456790496498,-17.471162132058954,17.471162132058954
6.36395,3.7002453981317194,-0.26928217890798745,-3.969527577039707,-17.333344555855334,17.333344555855334
6.36495,3.6888158525254626,-0.27304453368075676,-3.9618603862062196,-16.87854898472373,16.87854898472373
5.62996,0.6454531139628221,-0.3678184600366258,-1.013271573999448,-16.63727960722105,16.63727960722105
6.41595,2.519282219083874,-0.31350130992573194,-2.832783529009606,-16.51224035021137,16.51224035021137
5.61796,1.0268104345477629,-0.3717310493198704,-1.3985414838676333,-16.40525271019691,16.40525271019691
6.36195,3.7057205573395553,-0.2638344975341508,-3.969555054873706,-16.000850265610264,16.000850265610264
6.36295,3.7216357143287695,-0.26353107963206424,-3.9851667939608335,-15.982866144169856,15.982866144169856
5.53896,3.024223418166457,-0.36469157907558086,-3.388914997242038,-15.970184299131239,15.970184299131239
6.36095,3.6490523725121298,-0.25593822546804457,-3.9049905979801744,-15.853990150277545,15.853990150277545
5.53496,2.649608868053125,-0.36519318221437547,-3.014802050267501,-15.771252595288635,15.771252595288635
5.53796,2.9342892794576665,-0.37086498405332036,-3.3051542635109867,-15.673906801148268,15.673906801148268
5.63096,0.6179164384721161,-0.36636046058993577,-0.9842768990620518,-15.433549961199024,15.433549961199024
6.41695,2.462012509953733,-0.3083222818493886,-2.770334791803122,-15.415184290652082,15.415184290652082
5.62496,0.7987590916799067,-0.3644612461366544,-1.163220337816561,-15.385816626532879,15.385816626532879
5.62296,0.8499465998706834,-0.37133018628516085,-1.2212767861558442,-15.377561266150902,15.377561266150902
5.61496,1.0218584604404437,-0.3742844178142854,-1.3961428782547292,-15.31598881157939,15.31598881157939
5.53396,2.5206777215762965,-0.36354584600257267,-2.884223567578869,-15.255421640230692,15.255421640230692
6.41895,2.3559933343139408,-0.29055147346966737,-2.646544807783608,-15.201497401384849,15.201497401384849
6.35995,3.6324647100236227,-0.24371358539465365,-3.8761782954182764,-15.133877392333774,15.133877392333774
6.42195,2.323134679142168,-0.2915555268971812,-2.614690206039349,-15.126683886059189,15.126683886059189
5.62896,0.6534111082747662,-0.37783440159364534,-1.0312455098684117,-14.9746278274767,14.9746278274767
5.53696,2.838466440873475,-0.36512235156266165,-3.2035887924361366,-14.929332767075882,14.929332767075882
5.63596,0.44294984988246017,-0.3728763178804115,-0.8158261677628716,-14.877391296990275,14.877391296990275
5.53596,2.7277611232785817,-0.36956902142947634,-3.097330144708058,-14.792287510555434,14.792287510555434
6.28096,1.4224489564112792,-0.30569164669078436,-1.7281406031020636,-14.69415140199091,14.69415140199091
6.27996,1.4014987007580282,-0.30674469938234233,-1.7082434001403706,-14.558218416302037,14.558218416302037
5.63696,0.39234726386748997,-0.3701466738058997,-0.7624939376733897,-14.340304134601025,14.340304134601025
5.61696,1.030219813921807,-0.37854096357268424,-1.4087607774944912,-14.298559392159591,14.298559392159591
5.63196,0.5517492522443312,-0.3689345823022377,-0.9206838345465689,-14.297667474379356,14.297667474379356
6.28296,1.431227296415406,-0.312632991388438,-1.743860287803844,-14.214930603524353,14.214930603524353
6.41795,2.3978098839141637,-0.30245646553545413,-2.7002663494496177,-14.21117966607155,14.21117966607155
5.56896,3.359291921039484,-0.37502270142529454,-3.7343146224647787,-14.178744032897415,14.178744032897415
5.63796,0.38719997778179427,-0.3663488488556401,-0.7535488266374344,-13.964730995418567,13.964730995418567
6.28196,1.3977454540755385,-0.30748502643115966,-1.7052304805066982,-13.932517041911417,13.932517041911417
5.56796,3.407204666575293,-0.3700264765886688,-3.7772311431639616,-13.909881343731497,13.909881343731497
5.56596,3.458747857210394,-0.36419278263186183,-3.8229406398422556,-13.738918496381483,13.738918496381483
5.63496,0.47487535497076383,-0.37650632943346607,-0.8513816844042299,-13.585715123773241,13.585715123773241
6.42095,2.338491159144273,-0.29451469803954144,-2.6330058571838144,-13.5369209481415,13.5369209481415
5.62396,0.8315242436742395,-0.3659221022175938,-1.1974463458918332,-13.492067967327166,13.492067967327166
6.35895,3.6612047237744427,-0.23825570336927862,-3.899460427143721,-13.385104583437982,13.385104583437982
6.42295,2.335112366016207,-0.29250846318992685,-2.6276208292061343,-13.379817599204163,13.379817599204163
6.27896,1.338739030361182,-0.30178904412310675,-1.6405280744842887,-13.338417414292103,13.338417414292103
5.56696,3.4244166666680687,-0.36190403924072556,-3.7863207059087944,-13.269341724493394,13.269341724493394
5.61896,0.9708602370261767,-0.35713914468365116,-1.327999381709828,-13.22336468217242,13.22336468217242
6.27296,1.2004931667856402,-0.30529539026024916,-1.5057885570458893,-13.138407503199439,13.138407503199439
6.41995,2.368605493964063,-0.2920440509488785,-2.6606495449129417,-13.109085003934783,13.109085003934783
6.27396,1.1970709026454593,-0.3069165833065519,-1.5039874859520113,-13.106620064025716,13.106620064025716
5.52796,2.153203624729727,-0.3709707356073756,-2.5241743603371027,-12.835547648580981,12.835547648580981
6.42395,2.367589987543764,-0.2853678885669106,-2.6529578761106745,-12.822897272769794,12.822897272769794
6.35795,3.6194471838032287,-0.2250595544483517,-3.8445067382515803,-12.680736151841087,12.680736151841087
6.42495,2.268742084867003,-0.2827867710756773,-2.55152885594268,-12.525900414461637,12.525900414461637
5.53296,2.460410363552459,-0.3689163192489364,-2.829326682801395,-12.454000570714037,12.454000570714037
6.42595,2.2117152052217017,-0.2827995468638285,-2.4945147520855304,-12.408277067336138,12.408277067336138
6.27196,1.2136781167954966,-0.3098139445202036,-1.5234920613157001,-12.408003499122577,12.408003499122577
6.35695,3.542406739126256,-0.22353070586606305,-3.765937444992319,-12.069311098908173,12.069311098908173
5.63896,0.29276817716468967,-0.36787401054384117,-0.6606421877085309,-12.030992664492553,12.030992664492553
6.28396,1.4304001352439524,-0.3073227298429209,-1.7377228650868732,-11.996893967046358,11.996893967046358
5.61596,1.0066208505100118,-0.37892916795334136,-1.3855500184633531,-11.978057572480017,11.978057572480017
5.56996,3.293657201088413,-0.3659621812450809,-3.659619382333494,-11.903938349522907,11.903938349522907
5.60896,1.2829056228537068,-0.3756685799562119,-1.6585742028099186,-11.631589600203236,11.631589600203236
6.26996,1.2081229610542352,-0.3102854124847009,-1.5184083735389362,-11.615668783696966,11.615668783696966
6.35595,3.48229016734529,-0.21578390719873555,-3.6980740745440257,-11.525171140808434,11.525171140808434
5.64096,0.22921324392115844,-0.3664218842428178,-0.5956351281639762,-11.482490716061516,11.482490716061516
6.42695,2.2173493334049894,-0.2796582480490698,-2.497007581454059,-11.468228589857112,11.468228589857112
6.27096,1.2208447824078825,-0.3097978281451166,-1.530642610552999,-11.46750051408622,11.46750051408622
5.57096,3.2814414687207214,-0.3606274090447379,-3.6420688777654595,-11.447478142037259,11.447478142037259
