Model,PLSComponents,Preprocessing,PreprocessingCode,Modality,Split,Repeat,Fold,Accuracy,BalancedAccuracy,MacroF1
PLS-DA,4,SNV,snv,440 nm,22,11,2,0.2,0.1,0.06222222222222222
PLS-DA,4,SNV,snv,440 nm,23,12,1,0.19047619047619047,0.09090909090909091,0.06013986013986015
PLS-DA,4,SNV,snv,440 nm,24,12,2,0.2631578947368421,0.14166666666666666,0.08484848484848485
PLS-DA,4,SNV,snv,440 nm,25,13,1,0.2,0.11363636363636363,0.06666666666666667
PLS-DA,4,SNV,snv,440 nm,26,13,2,0.2,0.10833333333333332,0.07575757575757575
PLS-DA,4,SNV,snv,440 nm,27,14,1,0.14285714285714285,0.08333333333333333,0.04250295159386069
PLS-DA,4,SNV,snv,440 nm,28,14,2,0.15789473684210525,0.1,0.07647907647907648
PLS-DA,4,SNV,snv,440 nm,29,15,1,0.19047619047619047,0.09848484848484848,0.05714285714285714
PLS-DA,4,SNV,snv,440 nm,30,15,2,0.15789473684210525,0.1,0.07929292929292929
PLS-DA,4,SNV,snv,440 nm,31,16,1,0.19047619047619047,0.09848484848484848,0.05289256198347107
PLS-DA,4,SNV,snv,440 nm,32,16,2,0.21052631578947367,0.125,0.08222222222222222
PLS-DA,4,SNV,snv,440 nm,33,17,1,0.15,0.07575757575757575,0.05909090909090909
PLS-DA,4,SNV,snv,440 nm,34,17,2,0.3,0.175,0.11922077922077923
PLS-DA,4,SNV,snv,440 nm,35,18,1,0.15,0.07575757575757575,0.06666666666666667
PLS-DA,4,SNV,snv,440 nm,36,18,2,0.35,0.175,0.10553083280356007
PLS-DA,4,SNV,snv,440 nm,37,19,1,0.1,0.045454545454545456,0.03305785123966942
PLS-DA,4,SNV,snv,440 nm,38,19,2,0.25,0.13333333333333333,0.08884297520661157
PLS-DA,4,SNV,snv,440 nm,39,20,1,0.1,0.053030303030303025,0.03996003996003996
PLS-DA,4,SNV,snv,440 nm,40,20,2,0.1,0.05833333333333333,0.04090909090909091
PLS-DA,4,SNV,snv,250 nm,1,1,1,0.3,0.17424242424242423,0.11969696969696969
PLS-DA,4,SNV,snv,250 nm,2,1,2,0.3,0.16666666666666666,0.1367965367965368
PLS-DA,4,SNV,snv,250 nm,3,2,1,0.2857142857142857,0.15909090909090906,0.12012987012987013
PLS-DA,4,SNV,snv,250 nm,4,2,2,0.42105263157894735,0.25,0.17074592074592074
PLS-DA,4,SNV,snv,250 nm,5,3,1,0.25,0.12878787878787878,0.08831168831168831
PLS-DA,4,SNV,snv,250 nm,6,3,2,0.25,0.125,0.10101010101010101
PLS-DA,4,SNV,snv,250 nm,7,4,1,0.35,0.20454545454545456,0.13939393939393938
PLS-DA,4,SNV,snv,250 nm,8,4,2,0.3,0.225,0.13333333333333333
PLS-DA,4,SNV,snv,250 nm,9,5,1,0.3,0.1515151515151515,0.10043290043290044
PLS-DA,4,SNV,snv,250 nm,10,5,2,0.35,0.175,0.0980716253443526
