SampleId,Wavelength,AUC,AbsAUC,MaxIntensity,MinIntensity,MeanIntensity,MedianIntensity,StdIntensity,RangeIntensity,P95Intensity,P05Intensity,ActualClass,Year
23,440,0.3932679513060897,0.3937670469638491,1.73738,-0.0002217144,0.01310887468819589,9.180605499999999e-05,0.09547177109633692,1.7376017144,0.028635005999999987,-6.86973335e-05,G5,1404
24,440,996289.2427155765,1059574.4098861464,2569096.6666666665,-46495.666666666664,33208.72462962963,-17.0,197785.1116208935,2615592.333333333,102205.71666666659,-3273.4666666666667,G6,1394
26,440,706148.9542855,757246.7816995002,1800348.0,-40004.666666666664,23537.498703703706,26.333333333333332,133264.84514012354,1840352.6666666667,92046.93333333325,-2742.1,G6,1394
27,440,958319.0616980983,1020459.1287640017,2432118.3333333335,-42970.333333333336,31943.091666666667,-67.33333333333333,192560.9789039801,2475088.666666667,92607.34999999995,-3141.3333333333335,G6,1394
28,440,652283.738862915,712326.7049893517,1753962.3333333333,-38567.0,21741.937037037034,-0.3333333333333333,130232.1741272713,1792529.3333333333,71944.99999999999,-3073.6833333333334,G6,1394
30,440,0.48448536742412107,0.4887699575756753,1.957621,-0.0003639758,0.016149444914533285,-4.211068e-05,0.1259912105250684,1.9579849758,0.026877982999999977,-0.00022717118500000002,G6,1404
31,440,0.4433409547499697,0.4435247788283898,1.914611,-0.0001476109,0.014778012138229614,0.0001244247,0.11638474194596517,1.9147586109,0.028197198499999996,-2.4735926499999968e-06,G6,1404
32,440,0.4793915199143555,0.4808229674237659,1.979964,-0.0002340376,0.01597967546874678,3.585219e-05,0.12566262820591592,1.9801980376000001,0.02715526449999997,-0.0001241267,G6,1404
33,440,0.49781129018556497,0.5003895406165673,1.950425,-0.0004217178,0.016593632272044776,8.746981499999999e-06,0.12509230042073338,1.9508467178000002,0.036129054499999994,-0.00020299254999999998,G6,1404
34,440,908730.36648441,970179.6027158101,2532105.3333333335,-43143.0,30290.144074074073,-5.333333333333334,189432.5496776108,2575248.3333333335,90057.91666666663,-3131.1,G7,1394
36,440,954281.3041403119,1005270.833140322,2610488.0,-39143.0,31808.646851851856,13.833333333333332,195786.79798322552,2649631.0,95483.53333333331,-2717.6833333333334,G7,1394
37,440,943400.0764580384,994841.9227811949,2529674.3333333335,-36468.333333333336,31445.887777777778,30.666666666666668,190855.96679675733,2566142.666666667,91588.23333333331,-2767.35,G8,1394
38,440,0.45331960720899556,0.4536481433717626,1.534754,-0.0002138764,0.015110644472258888,0.0002422184,0.09936664798686606,1.5349678763999999,0.03335261149999999,-2.8911233499999997e-05,G8,1404
39,440,891189.367255545,951932.2591011217,2527594.0,-38465.0,29705.435740740748,-47.0,187295.17516341916,2566059.0,87381.54999999997,-3117.1,G9,1394
40,440,885741.5684675282,950222.5883787717,2510628.0,-40006.0,29523.81777777778,-37.66666666666667,178057.47216469253,2550634.0,114511.49999999997,-3248.35,G9,1394
41,440,0.494892847384555,0.49506977153766285,1.831881,-0.0001471937,0.01649641075564192,0.0001477301,0.11238718892113264,1.8320281937,0.03554820049999995,-2.2357697499999994e-05,G10,1404
42,440,0.5212659049417191,0.5213720011159136,1.932395,-0.0001074821,0.01737551076034461,0.0001876801,0.12521821030944547,1.9325024821,0.0348954015,6.434321300000003e-06,G10,1404
43,440,0.4533347548997047,0.4535641270200848,1.858914,-0.0001755804,0.015111135312060332,0.00014676155,0.1055465088009482,1.8590895804,0.035130773499999955,-2.370775e-05,G11,1404
44,440,0.45138435046389647,0.4517100262382162,1.881179,-0.0002664179,0.015046075165115613,0.00011469425,0.10916531274945679,1.8814454179,0.033736489499999994,-3.32921735e-05,G11,1404
