SampleId,ActualClass,Modality,Year,OwnGroupSimilarity,NearestOtherGroup,NearestOtherSimilarity,SimilarityGap,OwnGroupWin,GroupSize
11,G3,308 nm,1404,0.8533323069877767,G10,0.9666631988209817,-0.113330891833205,False,2
12,G3,308 nm,1404,0.8533323069877767,G11,0.7170774238682537,0.13625488311952305,True,2
14,G4,308 nm,1404,0.9143166632825216,G10,0.8366397842608023,0.07767687902171927,True,6
15,G4,308 nm,1404,0.9580195157237794,G10,0.8948655203044436,0.06315399541933586,True,6
16,G4,308 nm,1404,0.9612296267713055,G10,0.9093356955699584,0.05189393120134711,True,6
17,G4,308 nm,1404,0.8263297729916388,G11,0.9725258025879971,-0.14619602959635836,False,6
18,G4,308 nm,1404,0.6133473391052611,G6,0.7138637522631298,-0.10051641315786874,False,6
19,G4,308 nm,1404,0.9459164339571517,G10,0.9115517049142411,0.03436472904291066,True,6
21,G5,308 nm,1404,0.90479729349556,G4,0.8939759223828013,0.010821371112758715,True,3
22,G5,308 nm,1404,0.9556559290483818,G10,0.9090484278181198,0.04660750123026203,True,3
23,G5,308 nm,1404,0.7563142418880308,G11,0.9315138407686001,-0.17519959888056935,False,3
30,G6,308 nm,1404,0.9842150869759346,G2,0.9409527113040236,0.043262375671911046,True,4
31,G6,308 nm,1404,0.8614829885790728,G5,0.9459862921159087,-0.08450330353683588,False,4
32,G6,308 nm,1404,0.8923803291944216,G2,0.8074523966953775,0.08492793249904407,True,4
33,G6,308 nm,1404,0.96954764041786,G2,0.9533346035463223,0.016213036871537745,True,4
41,G10,308 nm,1404,0.983438023483725,G5,0.9234517749111294,0.0599862485725956,True,2
42,G10,308 nm,1404,0.9834380234837244,G5,0.9545644302052847,0.028873593278439746,True,2
43,G11,308 nm,1404,0.9899381272014071,G2,0.9411949741162177,0.048743153085189395,True,2
44,G11,308 nm,1404,0.9899381272014065,G2,0.9813058962319885,0.008632230969418009,True,2
9,G3,440 nm,1394,0.9977356383435516,G6,0.934419082772936,0.06331655557061566,True,2
10,G3,440 nm,1394,0.9977356383435518,G6,0.9397844721778571,0.057951166165694734,True,2
24,G6,440 nm,1394,0.8996564934687242,G3,0.9534741123388917,-0.05381761887016745,False,4
26,G6,440 nm,1394,0.9319389474082639,G9,0.9530806289520938,-0.021141681543829893,False,4
27,G6,440 nm,1394,0.980977834714572,G7,0.9925671517417652,-0.011589317027193236,False,4
28,G6,440 nm,1394,0.9948767872787349,G7,0.9788947402752088,0.015982047003526012,True,4
34,G7,440 nm,1394,0.9967496469206684,G9,0.9906077204627454,0.006141926457922997,True,2
36,G7,440 nm,1394,0.9967496469206683,G6,0.9789363699613342,0.0178132769593341,True,2
39,G9,440 nm,1394,0.9948350296343959,G7,0.9626367198979721,0.03219830973642379,True,2
40,G9,440 nm,1394,0.9948350296343959,G7,0.9904926621610727,0.004342367473323172,True,2
5,G2,440 nm,1404,0.9846795107793495,G10,0.9970939717767129,-0.01241446099736343,False,4
6,G2,440 nm,1404,0.9903464502553068,G11,0.9693508605325881,0.020995589722718644,True,4
7,G2,440 nm,1404,0.9899369511092434,G11,0.9585149245415081,0.031422026567735295,True,4
8,G2,440 nm,1404,0.9903561423210978,G10,0.9834330660522359,0.006923076268861905,True,4
11,G3,440 nm,1404,0.8299192553424638,G10,0.9481358283262665,-0.11821657298380273,False,2
12,G3,440 nm,1404,0.8299192553424642,G6,0.8499849245257742,-0.020065669183309987,False,2
14,G4,440 nm,1404,0.9166812535150508,G10,0.7598684535688036,0.1568127999462472,True,6
15,G4,440 nm,1404,0.8428243395059588,G5,0.7206839129013326,0.1221404266046262,True,6
16,G4,440 nm,1404,0.8926294386495822,G5,0.7355814562829307,0.15704798236665152,True,6
17,G4,440 nm,1404,0.8386906459719607,G2,0.9885240817187643,-0.14983343574680352,False,6
18,G4,440 nm,1404,0.6502215648693468,G6,0.8602215946870583,-0.2100000298177115,False,6
19,G4,440 nm,1404,0.9291613411315224,G10,0.9808995410543355,-0.051738199922813144,False,6
21,G5,440 nm,1404,0.5977032976627366,G4,0.264708386623635,0.33299491103910156,True,3
22,G5,440 nm,1404,0.8199326034485286,G4,0.9445796284225051,-0.1246470249739765,False,3
23,G5,440 nm,1404,0.7520090850483856,G11,0.99334767980534,-0.2413385947569544,False,3
30,G6,440 nm,1404,0.9902611236841282,G11,0.9724892686533431,0.017771855030785155,True,4
31,G6,440 nm,1404,0.7587969343357662,G4,0.9470287001845129,-0.18823176584874668,False,4
32,G6,440 nm,1404,0.9610306122481603,G11,0.9520341620476201,0.008996450200540185,True,4
33,G6,440 nm,1404,0.9623449922438629,G11,0.9574434170131164,0.004901575230746524,True,4
41,G10,440 nm,1404,0.9907114715350364,G4,0.9480042948521558,0.0427071766828806,True,2
42,G10,440 nm,1404,0.9907114715350362,G2,0.9894825277386585,0.0012289437963777239,True,2
