Modality,GroupA,GroupB,CentroidSimilarity,CentroidDistance
Combined,G2,G5,0.868571251908268,29.797838121748683
Combined,G2,G4,0.8545295729907454,31.3112456141224
Combined,G3,G6,0.8505800615378695,26.222742345580404
Combined,G10,G5,0.8255447586349279,43.0114929027277
Combined,G7,G9,0.8108232062000895,44.634609369248395
Combined,G2,G6,0.7908432964952304,36.39728361656784
Combined,G5,G6,0.7776035353240146,31.3988300637377
Combined,G3,G5,0.770466265984278,32.575291164332505
Combined,G11,G5,0.7685890187242248,47.685849803881425
Combined,G11,G4,0.7583542696645423,47.71581666579079
Combined,G3,G8,0.7519545321755271,35.49888783870983
Combined,G6,G8,0.7392020022785831,35.8858880006732
Combined,G2,G3,0.7376615630372668,40.45490851909188
Combined,G1,G4,0.7198104054017523,40.86076377803113
Combined,G4,G6,0.7055990865483032,40.331365565546236
Combined,G3,G4,0.7005114199115443,41.065119442598764
Combined,G1,G5,0.6919358595783087,39.68875461137623
Combined,G11,G6,0.6834201280113876,53.52812273157021
Combined,G1,G7,0.6479110444943761,55.07003192986945
Combined,G10,G6,0.6309417551712637,56.4565092992171
Combined,G7,G8,0.627788261377348,56.27840655184425
Combined,G8,G9,0.6158488382442947,58.09305185656459
Combined,G5,G8,0.6142715479280427,43.641752262004026
Combined,G11,G3,0.601016436802334,58.70035657789584
Combined,G1,G6,0.6000948628193667,44.99001468505932
Combined,G2,G8,0.5851946125273207,51.099707048439754
Combined,G1,G3,0.583725012005373,46.58310500761874
Combined,G10,G3,0.5669128838995642,60.41090521618348
Combined,G1,G8,0.5616352947620832,49.02033836013795
Combined,G4,G8,0.5607453994327907,50.5862038351748
Combined,G3,G7,0.5463569194822949,60.89282997527379
Combined,G1,G9,0.5377639826632893,63.24026517728661
Combined,G1,G2,0.533085407745052,54.62836555959841
Combined,G6,G7,0.5205334936428131,62.03999999729154
Combined,G1,G10,0.5159374637989882,64.20997246938872
Combined,G11,G8,0.4883921211859762,65.83656614519958
Combined,G3,G9,0.45396873097129237,67.10152534409937
Combined,G6,G9,0.45237966637702665,66.76743067773263
Combined,G10,G8,0.4011173944302743,70.34920044715702
Combined,G5,G7,0.3592628803679265,70.35808537269742
Combined,G1,G11,0.33703365980404565,74.5027090845333
Combined,G5,G9,0.28293764469187344,75.10703269534031
Combined,G2,G7,0.2385697464380326,81.57466909580509
Combined,G4,G7,0.19885875769506925,81.77523976818111
Combined,G2,G9,0.16531641953749557,86.38988849372467
Combined,G4,G9,0.134716800036053,85.97898854172992
Combined,G10,G7,0.035739858034248895,100.37596530117808
Combined,G11,G7,0.013909482970591063,101.81762457135841
Combined,G10,G9,0.003645445110567714,103.0622379569258
Combined,G11,G9,-0.007815817086301946,103.96540637044664
