Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,WithinActualRate,UniqueSamplesAffected,IsError
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G3,4,0.005,0.1,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G1,4,0.005,0.1,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G3,4,0.005,0.1,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G2,3,0.00375,0.075,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G3,3,0.00375,0.075,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G9,2,0.0025,0.05,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G4,2,0.0025,0.05,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G9,2,0.0025,0.0125,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G9,2,0.0025,0.05,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G3,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G3,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G11,1,0.00125,0.01,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G5,1,0.00125,0.01,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G7,1,0.00125,0.01,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G9,1,0.00125,0.01,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G7,1,0.00125,0.0125,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G1,1,0.00125,0.007142857142857143,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G11,1,0.00125,0.0125,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G1,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G5,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G2,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G6,82,0.1025,0.5125,8,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G4,44,0.055,0.3142857142857143,6,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G2,38,0.0475,0.38,3,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G11,4,0.005,0.1,2,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G9,4,0.005,0.1,2,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G3,1,0.00125,0.0125,1,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G4,48,0.06,0.3,5,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G6,34,0.0425,0.425,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G4,34,0.0425,0.425,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G2,32,0.04,0.8,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G2,29,0.03625,0.725,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G6,28,0.035,0.28,4,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G9,26,0.0325,0.65,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G6,25,0.03125,0.17857142857142858,4,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G4,24,0.03,0.3,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G4,23,0.02875,0.575,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G4,20,0.025,0.5,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G2,19,0.02375,0.11875,4,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G2,18,0.0225,0.225,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G6,14,0.0175,0.175,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G9,14,0.0175,0.35,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G5,12,0.015,0.08571428571428572,4,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G2,10,0.0125,0.125,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G5,10,0.0125,0.125,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G3,10,0.0125,0.125,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G3,9,0.01125,0.06428571428571428,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G5,9,0.01125,0.05625,4,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G6,8,0.01,0.2,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G3,7,0.00875,0.07,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G6,7,0.00875,0.175,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G5,6,0.0075,0.15,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G2,6,0.0075,0.04285714285714286,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G3,6,0.0075,0.0375,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G5,5,0.00625,0.125,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G5,5,0.00625,0.05,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G9,4,0.005,0.1,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G6,4,0.005,0.1,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G11,4,0.005,0.04,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G8,4,0.005,0.02857142857142857,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G2,4,0.005,0.1,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G2,3,0.00375,0.075,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G4,3,0.00375,0.075,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G1,3,0.00375,0.02142857142857143,3,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G3,2,0.0025,0.05,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G4,2,0.0025,0.02,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G9,2,0.0025,0.02,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G1,2,0.0025,0.025,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G9,2,0.0025,0.025,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G8,2,0.0025,0.05,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G6,2,0.0025,0.05,2,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G1,2,0.0025,0.05,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G11,1,0.00125,0.025,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G6,1,0.00125,0.025,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G1,1,0.00125,0.0125,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G8,1,0.00125,0.00625,1,True
