SampleId,ActualClass,Year,Normalization,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
28,G6,1394,Raw,308 nm,370430.7214878511,841865.419846844,-208853.3534956871,171906.2646303723,128201.26868568218,-346488.80634538503,99500.50204519852,-339364.86620358663,-209535.4189334978,39233.24758603413
30,G6,1404,Raw,308 nm,-319135.5747960476,-27672.033376326977,33861.89774509591,-25844.85131436293,-15260.75956651104,-12.536155715173184,-9120.679720885275,-7822.050526811937,-4975.544076959814,-4419.840742205935
31,G6,1404,Raw,308 nm,-319135.6238354736,-27672.079150510075,33861.87091565143,-25844.842803790856,-15260.797529539279,-12.521973878535064,-9120.651364381145,-7822.085123485322,-4975.5795572706475,-4419.781968536287
32,G6,1404,Raw,308 nm,-319135.6147373176,-27671.986550216734,33861.92388930637,-25844.8247559324,-15260.707082134984,-12.575732902531504,-9120.765966195635,-7822.047154060813,-4975.534378576168,-4419.863000386047
33,G6,1404,Raw,308 nm,-319135.67146764847,-27672.01578912071,33861.89284748916,-25844.801191080667,-15260.732540725174,-12.56315557373049,-9120.75831923945,-7822.095289661298,-4975.587728223448,-4419.803852062471
34,G7,1394,Raw,308 nm,730388.8680472772,-423542.35471134575,153271.898419294,219291.04443534417,-101016.81030323535,24736.899306295454,298535.17039635347,-146761.514066074,123467.2337427472,26102.670935150858
36,G7,1394,Raw,308 nm,381025.21009005234,-369023.262643448,-128797.11618319966,193398.79499882905,74862.47542875598,-25232.78663272023,106612.64773012852,-87309.15176970352,110561.60011975314,-22783.493531375952
37,G8,1394,Raw,308 nm,475356.4462463647,-434521.25958410185,-326280.7530983279,172027.5062856144,153535.45238784092,-37908.91830472671,3534.53233230603,37634.20804490454,30722.593092720952,-20457.048622559872
38,G8,1404,Raw,308 nm,-319135.7487271212,-27671.967468531315,33861.82777417245,-25844.700747279967,-15260.781110461825,-12.598710288594237,-9120.812010030371,-7822.097959050493,-4975.564291879821,-4419.724305062059
39,G9,1394,Raw,308 nm,323894.9362764128,-264311.238607795,-443363.9600780276,145544.26790611102,428862.8994385559,-79963.4285750324,12074.915921840184,326300.86469064426,-111727.66807566375,15110.344152275238
40,G9,1394,Raw,308 nm,21670.34917095767,-153090.88616174346,-219067.81511160426,64991.51554741591,220124.8048659693,-42386.52904098843,2112.882059378289,169263.0017718239,-61554.26127679291,5931.209782155172
41,G10,1404,Raw,308 nm,-319135.489230433,-27672.021365539826,33861.77040738369,-25844.870169880392,-15260.798667563553,-12.49996123437953,-9120.660827820164,-7822.093236788343,-4975.614066862656,-4419.728913408061
42,G10,1404,Raw,308 nm,-319135.46459079627,-27672.056253570558,33861.806120271496,-25844.899932400447,-15260.82084854391,-12.489343625687287,-9120.58817103199,-7822.063751682621,-4975.575895967374,-4419.773710680587
43,G11,1404,Raw,308 nm,-319135.64452606364,-27672.011167370023,33861.82119366642,-25844.796314735057,-15260.721562207336,-12.514622553141113,-9120.777031681795,-7822.133786935544,-4975.638695042109,-4419.744511641036
44,G11,1404,Raw,308 nm,-319135.6034505488,-27672.008868347915,33861.83647297026,-25844.831279741455,-15260.751790089877,-12.51478499229971,-9120.720267095647,-7822.101669231462,-4975.62028547887,-4419.774061302371
1,G1,1394,Raw,440 nm,2139897.750547236,-3171263.0944505967,1365339.874603929,-283878.19973254605,619897.7037311356,-182634.7640360984,-121299.1857439882,-60737.32897866932,173928.28221338557,62357.851243598256
3,G1,1404,Raw,440 nm,-2699371.6780103967,61654.0413940149,-32540.468428281776,16554.543853046835,3566.2818162816848,-191.100825614617,7752.866251621118,4318.286783018864,-3822.9872103708094,1450.0419473687307
4,G2,1394,Raw,440 nm,5981326.189715231,646034.2476163968,215467.78383038915,183991.65600455122,-172174.98814145185,-497031.3447598559,-217572.41683262814,333152.0478242947,-98586.49764151605,-45823.22778032348
5,G2,1404,Raw,440 nm,-2699371.6956488965,61654.12995202933,-32540.458369947424,16554.441344964114,3566.267133168966,-191.0574135238828,7752.884118811095,4318.2033091414305,-3823.104168231433,1449.9250771394695
6,G2,1404,Raw,440 nm,-2699371.709762634,61654.18061311832,-32540.4961032352,16554.400758963795,3566.2325073897514,-190.9796639839172,7752.81345084942,4318.098417409806,-3823.176769191005,1449.880112062989
7,G2,1404,Raw,440 nm,-2699371.718965522,61654.161292245415,-32540.508268896327,16554.41231479936,3566.2033591552427,-190.9476517366352,7752.789897831148,4318.057171087735,-3823.202124854154,1449.892267310986
8,G2,1404,Raw,440 nm,-2699371.7150417566,61654.17085574746,-32540.460566724483,16554.431241189533,3566.2224414042134,-191.0297891834516,7752.82076382192,4318.156469507016,-3823.142336224238,1449.893703803976
9,G3,1394,Raw,440 nm,4430789.570363404,2010729.5860825444,-611909.6038604224,255707.9374918051,359422.33240068285,-161160.0029686375,-188119.70775732788,-278555.0812647245,-81971.92830720526,-85312.77076377324
10,G3,1394,Raw,440 nm,4827087.334428229,2274019.1904140306,27103.41301334553,-380733.89386241895,247179.77490976948,-195653.9368861101,-119468.58430731039,69551.28278394634,30140.690580299746,-45052.47696528969
11,G3,1404,Raw,440 nm,-2699371.7241199035,61654.14403833538,-32540.48103933704,16554.46513862685,3566.2243724539007,-191.03203346096964,7752.798452906501,4318.218696202858,-3823.1362084338825,1449.9483979397767
12,G3,1404,Raw,440 nm,-2699371.711568651,61654.17444885895,-32540.523565236483,16554.34083214293,3566.1840967106878,-190.8893236566642,7752.885449137876,4317.873602075027,-3823.204978144796,1449.8234102564775
13,G4,1394,Raw,440 nm,5458880.456802572,690041.4268021232,-351365.9102909929,-852763.5953709485,269217.8973560687,158554.96897049827,569347.1874617205,71698.95426473084,-29228.39625953176,-112296.67612951
14,G4,1404,Raw,440 nm,-2699371.693299461,61654.08460976061,-32540.459930489345,16554.490941794404,3566.25133473646,-191.1029188250629,7752.870047595029,4318.282324466151,-3823.048709602717,1450.0068654828117
15,G4,1404,Raw,440 nm,-2699371.6649654973,61654.03746531175,-32540.462006803435,16554.52225493195,3566.3046307116733,-191.11561271168196,7752.906227787464,4318.310091811039,-3822.9759217818514,1450.029857194615
16,G4,1404,Raw,440 nm,-2699371.695425249,61654.080609764365,-32540.475333807393,16554.50366995107,3566.2490240515554,-191.07996411926757,7752.861619172007,4318.282766315373,-3823.059360747905,1450.0063804487907
17,G4,1404,Raw,440 nm,-2699371.696203958,61654.176723651886,-32540.478255466962,16554.358259877168,3566.2468735136017,-190.9980987634132,7752.876383592211,4318.120362370736,-3823.1605134297643,1449.8531586707325
18,G4,1404,Raw,440 nm,-2699371.664348316,61654.14540353511,-32540.428385106563,16554.368691154898,3566.140906290142,-190.860755947163,7752.990760284829,4317.83886821721,-3823.2120714822217,1449.889736558358
19,G4,1404,Raw,440 nm,-2699371.69377923,61654.16345267578,-32540.451997222903,16554.424085700044,3566.2606731041315,-191.0491306820362,7752.855407565125,4318.226078114554,-3823.11635734215,1449.9161983496624
