SampleId,ActualClass,Year,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
32,G6,1404,440 nm,20.131895350129867,-5.043718577476094,-2.4016042174841594,-3.8736029626665838,3.2770490023557644,-0.29759275058758644,-1.6880770521674118,-2.9759312696124853,1.447147402003195,0.1991678847058565
33,G6,1404,440 nm,19.75015135717469,-4.736270174637655,-1.7401963199827977,-6.261925881610293,3.292275468973902,1.106815332680555,-1.2289275543689815,2.2714171864719357,-0.36635534321325774,0.12090780939978789
38,G8,1404,440 nm,20.129127160249187,-18.532909665643682,-12.871651894579928,11.148713577147777,-2.9608246406099648,-0.5384974746631951,-0.11293114346374827,1.1011368166093294,-0.6719929012794799,0.7850766398714596
41,G10,1404,440 nm,-7.47047798757184,10.482482561157475,2.485155093682016,1.4773067107903939,1.9490480856596368,0.12008662963992425,3.703620753051711,-1.1304643836648955,-0.20557759692374222,0.36168109987908875
42,G10,1404,440 nm,2.8416742284982113,8.782341579530238,2.7404834901333905,-0.5193460536889152,2.099839119583507,1.7035806373349032,0.9806206837940058,-1.8398896773045124,-2.066008855855058,0.16181922395062134
43,G11,1404,440 nm,16.74641752220386,1.9256292039332836,3.2074121655147994,-4.138131657387193,-3.474695068758513,-1.2406517217606492,-0.17384607221496476,1.083711038032506,0.30077907861057174,0.8036165720910338
44,G11,1404,440 nm,15.480181334050938,3.3418362956033043,3.412914246789928,-3.143447786551457,-2.632837653720276,-0.401740649614183,-0.8116984492816635,0.6119854478867938,-0.06654581180715635,0.6670752825043224
1,G1,1394,Combined,27.930492989361483,-3.416908595444366,-15.859826679987505,-3.44183757172147,7.622999467016561,-9.868250577930873,-0.6278502861344375,-17.058964969408425,3.4703299223165405,-6.425235488181149
4,G2,1394,Combined,-10.439007445764306,12.969768944929408,-15.688421080715125,-9.286785253312571,2.559625397470438,16.188211111494,0.8867669607386159,1.5540195923596247,-5.437399425986477,2.6393136729033033
9,G3,1394,Combined,-30.27921476178262,7.799542379215142,4.435977724305839,17.874288241645086,-8.346044779671653,8.403693923545736,-1.1411633276386424,-7.835956537369901,12.919832145049448,-3.0673785476306827
10,G3,1394,Combined,-25.736668703478742,20.30186972521123,-6.822737119032832,2.2280365856244484,-7.4647980397022335,2.905586824662111,4.159616808727338,-1.1188728231506047,-1.590799976639414,0.7376880524243056
13,G4,1394,Combined,-4.531067188325206,16.549413871964717,-13.628062610491334,-8.952336995324396,-2.278507005927472,-8.277419738204495,10.975824122102459,-6.31575139121276,-3.7649891807473996,10.318995453847819
20,G5,1394,Combined,-1.8658755855303717,7.59855256874684,-6.1554255381586955,31.190150939555288,4.010652151162898,-12.037167044760961,0.20541957219079432,6.964921083946879,-9.243540349244155,-2.33692106233088
24,G6,1394,Combined,-35.50393811485974,3.554680845370855,12.366585416264092,-21.00483524239989,-3.8910276923842044,-10.375197018896529,-4.311748534104409,3.4943896975828825,-3.722022484088396,-11.551223908195837
26,G6,1394,Combined,13.734396474337528,-40.07378598420317,-19.132031881155996,-1.371378186075018,-27.64319552908776,-0.5154339295287484,1.1295022516869546,6.2265315587836465,1.4809023764166558,-0.43458219219074523
27,G6,1394,Combined,-11.841386972279082,-34.47693422494254,10.115911934058749,-0.33087453290967317,20.093200556327375,2.0181741510921256,18.92039646128086,3.9543400094670327,3.5075528507333473,-0.7560212856555193
28,G6,1394,Combined,-20.787102093884737,-30.303142629473733,10.34472561101604,0.7689133047956717,6.983185685267692,-2.3938084868196334,-17.499618766345677,-5.603940447763204,-3.0034807130854415,10.811134276419319
34,G7,1394,Combined,13.580517276797723,0.6178801430707602,-20.670832036424184,-1.7953607183156417,13.687971692930667,10.60189072440709,-8.288997668204372,5.098364830298048,-1.3817706407678676,-4.663798175861639
36,G7,1394,Combined,17.361229168978895,12.084132226001758,-0.9147576051980665,-2.649985786886754,8.902974734751043,-1.3847120163713498,-7.140845382623859,7.7068887199844625,7.61107670980602,0.36924784833320495
37,G8,1394,Combined,16.00652196622642,19.71614351113357,11.293763264831465,-5.49358865315164,-2.427355808298173,-8.2637122281712,-0.45464300791676787,9.384856415682584,9.892736700569554,6.581706166634085
