Scenario,Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,PredictionCount,CorrectRate,Stability,MeanDecisionMargin,MedianDecisionMargin,MajorityPredictionCorrect,RobustnessStatus
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,28,G6,G6,20,0.5,0.5,0.12021246027095349,0.09801831402903025,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,30,G6,G6,20,0.7,0.7,0.17408673256939733,0.1462473256801315,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,31,G6,G4,20,0.05,0.7,0.12726783724498697,0.10707789718043453,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,32,G6,G6,20,0.5,0.5,0.16968279057035074,0.17573672521245207,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,33,G6,G6,20,0.45,0.45,0.1198662271443692,0.08697762279609694,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,34,G7,G6,20,0.0,0.6,0.12693770831932166,0.08139178826875013,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,36,G7,G6,20,0.0,0.8,0.13070152503494936,0.13992066135642828,False,STABLE INCORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,37,G8,G6,20,0.0,0.65,0.21350230875338966,0.22361987051663984,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,38,G8,G4,20,0.0,0.9,0.7630763131001584,0.7550176479048831,False,STABLE INCORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,39,G9,G2,20,0.1,0.25,0.08912746658891951,0.09053248267769448,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,40,G9,G6,20,0.1,0.6,0.10721360005297338,0.08853830848289701,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,41,G10,G2,20,0.0,0.65,0.17019195865809386,0.11224249590854551,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,42,G10,G2,20,0.0,0.55,0.08859210016671747,0.07415442892024077,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,43,G11,G2,20,0.05,0.3,0.11428502325352459,0.10035723202587982,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,44,G11,G5,20,0.15,0.45,0.08601209717803596,0.07611760683195515,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,1,G1,G6,20,0.0,0.4,0.11647308254382742,0.11407232918645338,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,3,G1,G4,20,0.0,1.0,0.7064333930867293,0.8231815144819703,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,4,G2,G6,20,0.0,0.6,0.10814190065974494,0.10241398868879091,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,5,G2,G2,20,0.75,0.75,0.09433926510454861,0.03518103595422216,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,6,G2,G2,20,0.85,0.85,0.12448892667239113,0.07825841449621783,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,7,G2,G2,20,0.8,0.8,0.18165232521472124,0.20779852061508908,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,8,G2,G6,20,0.2,0.7,0.20627622708181778,0.17828859283291607,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,9,G3,G6,20,0.0,1.0,0.3369120902033448,0.2536600428179824,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,10,G3,G5,20,0.05,0.5,0.20148621475046316,0.18364752228322664,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,11,G3,G4,20,0.0,0.75,0.15398123894968152,0.18833824279868383,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,12,G3,G6,20,0.0,0.5,0.10938119891241768,0.06385699994075762,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,13,G4,G3,20,0.0,0.4,0.11428195227936275,0.07527992015101123,False,MIXED / UNSTABLE
