SampleId,ActualClass,Modality,OwnGroupSimilarity,NearestOtherGroup,NearestOtherSimilarity,SimilarityGap,OwnGroupWins,GroupSize
21,G5,308 nm,0.6871311946355508,G4,0.8850867417386973,-0.19795554710314645,False,4
22,G5,308 nm,0.7719462888000586,G10,0.9090484278181198,-0.13710213901806123,False,4
23,G5,308 nm,0.4272288389756756,G11,0.9315138407686001,-0.5042850017929246,False,4
24,G6,308 nm,0.3415280048918669,G3,0.42571312279441587,-0.08418511790254896,False,8
26,G6,308 nm,0.21845663802026177,G1,0.3647645016025356,-0.14630786358227382,False,8
27,G6,308 nm,0.173507834313948,G3,0.03816755013675536,0.13534028417719265,True,8
28,G6,308 nm,0.25439810200101504,G3,0.199487201719692,0.05491090028132303,True,8
30,G6,308 nm,0.7373004117081828,G2,0.92307979136548,-0.18577937965729718,False,8
31,G6,308 nm,0.6050901917640495,G10,0.9151301631101632,-0.3100399713461136,False,8
32,G6,308 nm,0.6300991984719657,G2,0.7860159118249133,-0.15591671335294754,False,8
33,G6,308 nm,0.7095111117926963,G11,0.93379303595759,-0.22428192416489368,False,8
34,G7,308 nm,0.8575668055282514,G1,0.6750334122646114,0.18253339326363993,True,2
36,G7,308 nm,0.8575668055282513,G8,0.6498588336901416,0.20770797183810963,True,2
37,G8,308 nm,-0.01264029073697883,G7,0.8455138448019802,-0.858154135538959,False,2
38,G8,308 nm,-0.012640290736978832,G6,0.6250855665439695,-0.6377258572809483,False,2
39,G9,308 nm,1.0,G8,0.5663769275907685,0.4336230724092315,True,2
40,G9,308 nm,1.0,G8,0.5663769275897258,0.4336230724102742,True,2
41,G10,308 nm,0.9343006920671499,G4,0.8922679513323675,0.04203274073478247,True,2
42,G10,308 nm,0.9343006920671499,G4,0.9356734292426315,-0.0013727371754815865,False,2
43,G11,308 nm,0.9599549913740567,G2,0.9019806850006546,0.05797430637340206,True,2
44,G11,308 nm,0.9599549913740567,G2,0.9468672557703038,0.01308773560375287,True,2
1,G1,440 nm,0.023068353552136857,G9,0.8854210959119,-0.8623527423597631,False,2
3,G1,440 nm,0.023068353552136857,G4,0.8055797399228989,-0.782511386370762,False,2
4,G2,440 nm,0.009347079169323145,G7,0.972838061858865,-0.9634909826895419,False,5
5,G2,440 nm,0.9217031541108933,G10,0.9970939722138287,-0.07539081810293535,False,5
6,G2,440 nm,0.9321157036152355,G11,0.9693508616930508,-0.0372351580778153,False,5
7,G2,440 nm,0.9311947030761945,G11,0.9585149270710951,-0.02732022399490064,False,5
8,G2,440 nm,0.9318204895599514,G10,0.9834330664058127,-0.05161257684586129,False,5
9,G3,440 nm,0.5081470032327614,G7,0.9193102596069647,-0.41116325637420326,False,4
10,G3,440 nm,0.5087380697775719,G7,0.9059829577944221,-0.3972448880168502,False,4
11,G3,440 nm,0.1643868774347064,G10,0.9481358277162892,-0.7837489502815829,False,4
12,G3,440 nm,0.16749847345472726,G11,0.8337135869101426,-0.6662151134554154,False,4
13,G4,440 nm,-0.008583149115421244,G7,0.9689896527336338,-0.977572801849055,False,7
14,G4,440 nm,0.8497421041092293,G10,0.7598684520860797,0.08987365202314967,True,7
15,G4,440 nm,0.7477264354591168,G1,0.7134939435266976,0.03423249193241917,True,7
16,G4,440 nm,0.8163756753770579,G10,0.7213773106208753,0.09499836475618262,True,7
17,G4,440 nm,0.7424632480986776,G11,0.9647774838746405,-0.22231423577596288,False,7
18,G4,440 nm,0.4983961946034703,G11,0.834985988939544,-0.3365897943360737,False,7
19,G4,440 nm,0.8682218479902831,G10,0.9808995373710651,-0.11267768938078193,False,7
20,G5,440 nm,-0.0075623409735128015,G7,0.9736929679868432,-0.9812553089603561,False,4
21,G5,440 nm,0.14842505993703947,G1,0.38735870106815007,-0.2389336411311106,False,4
22,G5,440 nm,0.43373137615629925,G4,0.9270301682584977,-0.49329879210219846,False,4
23,G5,440 nm,0.3364616520984735,G11,0.9933476784282604,-0.6568860263297869,False,4
24,G6,440 nm,0.5180330882225783,G7,0.8142821641376552,-0.2962490759150769,False,8
26,G6,440 nm,0.536489662296716,G9,0.9530804790276355,-0.41659081673091947,False,8
27,G6,440 nm,0.5882054162045284,G7,0.992567108215669,-0.4043616920111406,False,8
28,G6,440 nm,0.6013728802873707,G7,0.9788946510000396,-0.3775217707126689,False,8
30,G6,440 nm,0.5625844011215796,G11,0.972489270324978,-0.4099048692033984,False,8
31,G6,440 nm,0.36466960290976924,G10,0.9357150612567063,-0.5710454583469371,False,8
32,G6,440 nm,0.5398150515010245,G11,0.9520341632397494,-0.41221911173872494,False,8
33,G6,440 nm,0.5409300107705464,G11,0.9574434156996053,-0.416513404929059,False,8
34,G7,440 nm,0.9870196645000494,G9,0.9906076757422924,-0.00358801124224295,False,2
36,G7,440 nm,0.9870196645000494,G9,0.9662804138252293,0.020739250674820076,True,2
37,G8,440 nm,0.004322164120497933,G7,0.9739321964241027,-0.9696100323036048,False,2
38,G8,440 nm,0.004322164120497933,G11,0.7349355915317778,-0.7306134274112799,False,2
39,G9,440 nm,0.9793934033968478,G7,0.962636561561976,0.016756841834871805,True,2
40,G9,440 nm,0.9793934033968478,G7,0.990492610363533,-0.011099206966685204,False,2
41,G10,440 nm,0.9630184392114868,G4,0.9299936270019484,0.033024812209538346,True,2
42,G10,440 nm,0.9630184392114868,G2,0.959339304265855,0.003679134945631768,True,2
43,G11,440 nm,0.9979159616175856,G2,0.9030622039035741,0.0948537577140115,True,2
44,G11,440 nm,0.9979159616175856,G2,0.9207786447435748,0.07713731687401071,True,2
1,G1,Combined,0.03946926114603199,G7,0.8850939370508095,-0.8456246759047775,False,2
3,G1,Combined,0.03946926114603199,G4,0.8666756046831516,-0.8272063435371196,False,2
4,G2,Combined,0.05554663449220223,G7,0.869518056400398,-0.8139714219081958,False,5
5,G2,Combined,0.9010598551099555,G10,0.9749408683426289,-0.07388101323267349,False,5
6,G2,Combined,0.8557764297065271,G11,0.951678771035434,-0.09590234132890685,False,5
7,G2,Combined,0.9089430485788609,G10,0.9422758167966827,-0.03333276821782183,False,5
8,G2,Combined,0.9003786254345479,G10,0.9247762656089307,-0.02439764017438273,False,5
9,G3,Combined,0.482343893397927,G7,0.6689219413070482,-0.1865780479091212,False,4
10,G3,Combined,0.4773137484074455,G7,0.7500198393039348,-0.2727060908964893,False,4
11,G3,Combined,0.24699275894972572,G4,0.9295839098198678,-0.6825911508701421,False,4
12,G3,Combined,0.2528298562439318,G11,0.7393373424304258,-0.48650748618649403,False,4
13,G4,Combined,0.03487679617379847,G7,0.8442229009503706,-0.8093461047765721,False,7
14,G4,Combined,0.8685213687711427,G10,0.8002978290306891,0.06822353974045359,True,7
15,G4,Combined,0.8355210868741251,G10,0.7576132305101789,0.07790785636394615,True,7
16,G4,Combined,0.8697010691069793,G10,0.799421360524134,0.07027970858284527,True,7
17,G4,Combined,0.6980351890862758,G11,0.8338571784239858,-0.13582198933770995,False,7
18,G4,Combined,0.5742048212144297,G11,0.7719792721692457,-0.19777445095481594,False,7
19,G4,Combined,0.8759481894704754,G10,0.9077405443442998,-0.03179235487382448,False,7
20,G5,Combined,-0.012695730551129549,G7,0.8074972255768562,-0.8201929561279858,False,4
21,G5,Combined,0.3393861024950652,G4,0.4787357511600435,-0.13934964866497834,False,4
22,G5,Combined,0.5973101969258986,G4,0.9144046570044093,-0.3170944600785107,False,4
23,G5,Combined,0.4273426091043698,G11,0.9711083027288341,-0.5437656936244644,False,4
24,G6,Combined,0.4256396967275245,G3,0.6244856479247447,-0.1988459511972202,False,8
26,G6,Combined,0.4000169647913317,G7,0.6328152246967594,-0.23279825990542774,False,8
27,G6,Combined,0.43988342992824236,G7,0.6509549215587798,-0.2110714916305374,False,8
28,G6,Combined,0.47301706714448755,G7,0.6532049054147913,-0.1801878382703037,False,8
30,G6,Combined,0.6195536531685953,G11,0.9181323707813003,-0.29857871761270494,False,8
31,G6,Combined,0.47252608423134507,G4,0.9229309438700091,-0.450404859638664,False,8
32,G6,Combined,0.5747834545844135,G11,0.892616651004946,-0.31783319642053254,False,8
33,G6,Combined,0.5902018232438137,G11,0.8945117805073426,-0.30430995726352894,False,8
34,G7,Combined,0.9092678202287584,G9,0.728433684273176,0.1808341359555824,True,2
36,G7,Combined,0.9092678202287584,G9,0.8560019243246507,0.053265895904107685,True,2
37,G8,Combined,-0.009973487586251233,G9,0.8741172135718582,-0.8840907011581095,False,2
38,G8,Combined,-0.009973487586251233,G11,0.6926994842060709,-0.7026729717923221,False,2
39,G9,Combined,0.9877674508832112,G7,0.7989719107330869,0.18879554015012423,True,2
40,G9,Combined,0.9877674508832112,G7,0.8177076780570982,0.17005977282611295,True,2
41,G10,Combined,0.9606351136116169,G2,0.9086538284365301,0.05198128517508682,True,2
42,G10,Combined,0.9606351136116169,G2,0.929976132391402,0.03065898122021493,True,2
43,G11,Combined,0.9844478303270311,G2,0.9079377717253347,0.07651005860169635,True,2
44,G11,Combined,0.9844478303270311,G2,0.9356230822717634,0.04882474805526771,True,2
