Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,CorrectRate,MeanDecisionMargin,PredictionCount
AsLS + SNV,asls_snv,308 nm,3,G1,G4,0.0,0.22368010261919916,20
AsLS + SNV,asls_snv,308 nm,4,G2,G4,0.1,0.1088575905842138,20
AsLS + SNV,asls_snv,308 nm,5,G2,G4,0.2,0.07821338129249969,20
AsLS + SNV,asls_snv,308 nm,6,G2,G2,0.55,0.07618444132665372,20
AsLS + SNV,asls_snv,308 nm,7,G2,G4,0.2,0.06643429433847142,20
AsLS + SNV,asls_snv,308 nm,8,G2,G6,0.15,0.06152442458014638,20
AsLS + SNV,asls_snv,308 nm,9,G3,G3,0.65,0.34557923991050715,20
AsLS + SNV,asls_snv,308 nm,10,G3,G5,0.3,0.1496439465739518,20
AsLS + SNV,asls_snv,308 nm,11,G3,G4,0.0,0.09666085708729985,20
AsLS + SNV,asls_snv,308 nm,12,G3,G4,0.0,0.06512322710509731,20
AsLS + SNV,asls_snv,308 nm,13,G4,G3,0.05,0.15786559556564933,20
AsLS + SNV,asls_snv,308 nm,14,G4,G4,0.55,0.06020613539801632,20
AsLS + SNV,asls_snv,308 nm,15,G4,G4,0.9,0.23265764428481045,20
AsLS + SNV,asls_snv,308 nm,16,G4,G4,0.9,0.13521279192204194,20
AsLS + SNV,asls_snv,308 nm,17,G4,G4,0.5,0.0797065248180321,20
AsLS + SNV,asls_snv,308 nm,18,G4,G6,0.35,0.1850748841803774,20
AsLS + SNV,asls_snv,308 nm,19,G4,G4,0.65,0.0840611265977145,20
AsLS + SNV,asls_snv,308 nm,20,G5,G3,0.0,0.5063908297334978,20
AsLS + SNV,asls_snv,308 nm,21,G5,G4,0.05,0.14749902306935916,20
AsLS + SNV,asls_snv,308 nm,22,G5,G4,0.0,0.08752485383339673,20
AsLS + SNV,asls_snv,308 nm,23,G5,G4,0.0,0.049495082929092396,20
AsLS + SNV,asls_snv,308 nm,24,G6,G6,0.65,0.12860540432619508,20
AsLS + SNV,asls_snv,308 nm,26,G6,G4,0.0,0.8228668759088572,20
AsLS + SNV,asls_snv,308 nm,27,G6,G4,0.3,0.513713329785851,20
AsLS + SNV,asls_snv,308 nm,28,G6,G6,0.85,0.2951400958769227,20
AsLS + SNV,asls_snv,308 nm,30,G6,G2,0.2,0.0484748138355795,20
AsLS + SNV,asls_snv,308 nm,31,G6,G4,0.05,0.13605154936810468,20
AsLS + SNV,asls_snv,308 nm,32,G6,G2,0.1,0.07652306566702405,20
AsLS + SNV,asls_snv,308 nm,33,G6,G6,0.65,0.05900208850253112,20
AsLS + SNV,asls_snv,308 nm,34,G7,G7,0.8,0.11180692825065863,20
AsLS + SNV,asls_snv,308 nm,36,G7,G8,0.3,0.2541893699123831,20
AsLS + SNV,asls_snv,308 nm,37,G8,G7,0.0,0.1970734633884536,20
AsLS + SNV,asls_snv,308 nm,38,G8,G4,0.0,0.40721184225480933,20
AsLS + SNV,asls_snv,308 nm,39,G9,G7,0.0,0.15962299090156615,20
AsLS + SNV,asls_snv,308 nm,40,G9,G7,0.0,0.1596229909015607,20
AsLS + SNV,asls_snv,308 nm,41,G10,G4,0.0,0.0809466384909188,20
AsLS + SNV,asls_snv,308 nm,42,G10,G2,0.0,0.04328896462830765,20
AsLS + SNV,asls_snv,308 nm,43,G11,G2,0.0,0.07112126085950919,20
AsLS + SNV,asls_snv,308 nm,44,G11,G2,0.0,0.05317565421557642,20
AsLS + SNV,asls_snv,440 nm,1,G1,G9,0.0,0.3471194605208116,20
AsLS + SNV,asls_snv,440 nm,3,G1,G4,0.0,0.2786441821989938,20
AsLS + SNV,asls_snv,440 nm,4,G2,G6,0.0,0.08989182109880632,20
AsLS + SNV,asls_snv,440 nm,5,G2,G4,0.0,0.1993842495641231,20
AsLS + SNV,asls_snv,440 nm,6,G2,G6,0.35,0.0678575962102034,20
AsLS + SNV,asls_snv,440 nm,7,G2,G2,0.3,0.06967529093029706,20
AsLS + SNV,asls_snv,440 nm,8,G2,G6,0.0,0.13761845070865292,20
AsLS + SNV,asls_snv,440 nm,9,G3,G6,0.05,0.26291780587992186,20
AsLS + SNV,asls_snv,440 nm,10,G3,G6,0.05,0.10567924387778405,20
AsLS + SNV,asls_snv,440 nm,11,G3,G2,0.0,0.07407909741841916,20
AsLS + SNV,asls_snv,440 nm,12,G3,G6,0.0,0.1791739378440021,20
AsLS + SNV,asls_snv,440 nm,13,G4,G9,0.1,0.09275986744301963,20
AsLS + SNV,asls_snv,440 nm,14,G4,G5,0.15,0.12649464818831163,20
AsLS + SNV,asls_snv,440 nm,15,G4,G4,0.85,0.32155431582592164,20
AsLS + SNV,asls_snv,440 nm,16,G4,G4,0.75,0.08939033639165303,20
AsLS + SNV,asls_snv,440 nm,17,G4,G6,0.2,0.06205854590379466,20
AsLS + SNV,asls_snv,440 nm,18,G4,G8,0.15,0.4791576045539193,20
AsLS + SNV,asls_snv,440 nm,19,G4,G4,0.45,0.043788936591855274,20
AsLS + SNV,asls_snv,440 nm,20,G5,G6,0.0,0.5087073216003835,20
AsLS + SNV,asls_snv,440 nm,21,G5,G4,0.0,0.23821002653940032,20
AsLS + SNV,asls_snv,440 nm,22,G5,G4,0.15,0.10426120870565422,20
AsLS + SNV,asls_snv,440 nm,23,G5,G6,0.0,0.08577667562483571,20
AsLS + SNV,asls_snv,440 nm,24,G6,G6,0.75,0.39621078719788455,20
AsLS + SNV,asls_snv,440 nm,26,G6,G9,0.2,0.16598710705418593,20
AsLS + SNV,asls_snv,440 nm,27,G6,G6,0.7,0.16824883744141944,20
AsLS + SNV,asls_snv,440 nm,28,G6,G6,0.6,0.1439817448251698,20
AsLS + SNV,asls_snv,440 nm,30,G6,G6,0.7,0.09888199331963483,20
AsLS + SNV,asls_snv,440 nm,31,G6,G5,0.1,0.08939312152901688,20
AsLS + SNV,asls_snv,440 nm,32,G6,G6,0.6,0.12329303322478127,20
AsLS + SNV,asls_snv,440 nm,33,G6,G6,0.65,0.09798750960372268,20
AsLS + SNV,asls_snv,440 nm,34,G7,G9,0.0,0.1087039870235249,20
AsLS + SNV,asls_snv,440 nm,36,G7,G9,0.15,0.0698085914170622,20
AsLS + SNV,asls_snv,440 nm,37,G8,G6,0.0,0.12369591756037421,20
AsLS + SNV,asls_snv,440 nm,38,G8,G4,0.0,0.526164148202654,20
AsLS + SNV,asls_snv,440 nm,39,G9,G6,0.0,0.22862513161001355,20
AsLS + SNV,asls_snv,440 nm,40,G9,G6,0.0,0.11551366045618035,20
AsLS + SNV,asls_snv,440 nm,41,G10,G4,0.0,0.24994263140602552,20
AsLS + SNV,asls_snv,440 nm,42,G10,G6,0.0,0.05565603145801519,20
AsLS + SNV,asls_snv,440 nm,43,G11,G2,0.0,0.08970378807580148,20
AsLS + SNV,asls_snv,440 nm,44,G11,G2,0.0,0.07245420681535371,20
AsLS + SNV,asls_snv,Combined,1,G1,G9,0.0,0.1424535261515636,20
AsLS + SNV,asls_snv,Combined,3,G1,G4,0.0,0.5111242108072387,20
AsLS + SNV,asls_snv,Combined,4,G2,G9,0.0,0.056438185996047274,20
AsLS + SNV,asls_snv,Combined,5,G2,G4,0.05,0.09492278427404166,20
