Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ActualGroupTotal,WithinActualRate,IsCorrect
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G7,1,80,0.0125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G4,44,140,0.3142857142857143,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G6,40,140,0.2857142857142857,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G2,20,140,0.14285714285714285,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G8,16,140,0.11428571428571428,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G5,13,140,0.09285714285714286,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G3,6,140,0.04285714285714286,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G1,1,140,0.007142857142857143,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G6,35,80,0.4375,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G4,18,80,0.225,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G2,15,80,0.1875,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G3,7,80,0.0875,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G1,4,80,0.05,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G11,1,80,0.0125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G6,82,160,0.5125,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G4,39,160,0.24375,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G2,12,160,0.075,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G5,11,160,0.06875,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G3,9,160,0.05625,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G1,5,160,0.03125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G9,2,160,0.0125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G6,28,40,0.7,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G2,4,40,0.1,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G3,4,40,0.1,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G9,2,40,0.05,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G1,1,40,0.025,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G5,1,40,0.025,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G4,19,40,0.475,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G6,15,40,0.375,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G3,5,40,0.125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G2,1,40,0.025,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G6,16,40,0.4,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G2,7,40,0.175,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G4,5,40,0.125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G1,4,40,0.1,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G3,4,40,0.1,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G9,4,40,0.1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G4,20,40,0.5,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G6,8,40,0.2,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G5,5,40,0.125,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G9,4,40,0.1,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G2,3,40,0.075,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G2,32,40,0.8,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G6,4,40,0.1,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G4,3,40,0.075,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G11,1,40,0.025,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G2,29,40,0.725,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G5,6,40,0.15,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G11,2,40,0.05,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G3,2,40,0.05,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G6,1,40,0.025,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G2,52,100,0.52,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G6,28,100,0.28,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G3,7,100,0.07,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G5,5,100,0.05,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G11,4,100,0.04,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G4,2,100,0.02,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G9,2,100,0.02,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G6,34,80,0.425,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G4,24,80,0.3,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G2,10,80,0.125,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G5,10,80,0.125,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G1,1,80,0.0125,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G3,1,80,0.0125,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G4,81,140,0.5785714285714286,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G6,25,140,0.17857142857142858,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G5,12,140,0.08571428571428572,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G3,9,140,0.06428571428571428,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G2,6,140,0.04285714285714286,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G8,4,140,0.02857142857142857,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G1,3,140,0.02142857142857143,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G4,34,80,0.425,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G2,18,80,0.225,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G6,14,80,0.175,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G3,10,80,0.125,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G1,2,80,0.025,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G9,2,80,0.025,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G6,76,160,0.475,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G4,48,160,0.3,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G2,19,160,0.11875,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G5,9,160,0.05625,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G3,6,160,0.0375,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G8,1,160,0.00625,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G9,1,160,0.00625,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G9,26,40,0.65,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G6,7,40,0.175,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G2,4,40,0.1,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G8,2,40,0.05,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G1,1,40,0.025,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G4,23,40,0.575,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G9,14,40,0.35,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G6,2,40,0.05,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G7,1,40,0.025,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G9,37,40,0.925,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G1,2,40,0.05,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G4,1,40,0.025,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G4,20,40,0.5,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G9,8,40,0.2,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G6,6,40,0.15,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G5,3,40,0.075,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G3,2,40,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G2,1,40,0.025,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G2,28,40,0.7,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G6,5,40,0.125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G4,3,40,0.075,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G11,2,40,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G5,2,40,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G2,18,40,0.45,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G6,7,40,0.175,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G4,5,40,0.125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G5,5,40,0.125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G11,4,40,0.1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G3,1,40,0.025,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G2,45,100,0.45,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G6,23,100,0.23,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G3,9,100,0.09,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G1,6,100,0.06,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G4,6,100,0.06,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G9,5,100,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G11,3,100,0.03,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G8,2,100,0.02,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G5,1,100,0.01,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G6,47,80,0.5875,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G4,25,80,0.3125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G2,5,80,0.0625,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G1,1,80,0.0125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G3,1,80,0.0125,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G5,1,80,0.0125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G4,89,140,0.6357142857142857,True
