Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,UniqueSamplesAffected
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G9,26,0.0325,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G6,25,0.03125,4
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G4,24,0.03,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G4,23,0.02875,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G4,20,0.025,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G2,19,0.02375,4
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G2,18,0.0225,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G6,14,0.0175,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G9,14,0.0175,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G5,12,0.015,4
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G2,10,0.0125,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G5,10,0.0125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G3,10,0.0125,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G3,9,0.01125,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G5,9,0.01125,4
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G6,8,0.01,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G3,7,0.00875,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G6,7,0.00875,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G5,6,0.0075,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G2,6,0.0075,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G3,6,0.0075,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G5,5,0.00625,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G5,5,0.00625,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G9,4,0.005,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G6,4,0.005,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G11,4,0.005,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G8,4,0.005,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G2,4,0.005,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,G2,3,0.00375,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G4,3,0.00375,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G1,3,0.00375,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G3,2,0.0025,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G4,2,0.0025,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G9,2,0.0025,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G1,2,0.0025,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G9,2,0.0025,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G8,2,0.0025,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G6,2,0.0025,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G1,2,0.0025,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G11,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G6,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G1,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G8,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G9,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G1,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G7,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G4,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G4,81,0.10125,6
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G6,76,0.095,7
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G2,52,0.065,4
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G9,37,0.04625,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G11,2,0.0025,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G3,1,0.00125,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G6,47,0.05875,4
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G6,29,0.03625,3
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G2,28,0.035,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G6,27,0.03375,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G4,25,0.03125,3
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G6,23,0.02875,5
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G2,23,0.02875,4
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G6,22,0.0275,5
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G4,22,0.0275,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G4,22,0.0275,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G4,20,0.025,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G2,20,0.025,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G2,18,0.0225,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G3,18,0.0225,7
