ppm,PC1_loading
5.91996,-0.014440639258763144
5.92096,-0.015566461090570425
5.92196,-0.016728737657305363
5.92296,-0.01791970951545478
5.92396,-0.019197642258700652
5.92496,-0.02046241220550546
5.92596,-0.021870598273773
5.92696,-0.023023630947618046
5.92796,-0.023987234900433488
5.92896,-0.024935787075927147
5.92996,-0.0255857837140016
5.93096,-0.02600655717256248
5.93196,-0.026269079905035034
5.93296,-0.02646189108470157
5.93396,-0.026529474611036698
5.93496,-0.026512199887558076
5.93596,-0.026487175565933222
5.93696,-0.026447680641952194
5.93796,-0.0263050363764618
5.93896,-0.026172095329874336
5.93996,-0.026125421622371428
5.94096,-0.02600649373500556
5.94196,-0.025858173667421894
5.94296,-0.02569045641286093
5.94396,-0.025533978155018972
5.94496,-0.02540716883587729
5.94596,-0.025241552766432536
5.94696,-0.02502878667470134
5.94796,-0.024780469898331096
5.94896,-0.024304460978390324
5.94996,-0.02372024060377201
5.95096,-0.02294886680689736
5.95196,-0.02179802237720248
5.95296,-0.020228568167379647
5.95396,-0.01843766227150962
5.95496,-0.016503468089052536
5.95596,-0.014742875695796643
5.95696,-0.013528559876462282
5.95796,-0.012981086188870216
5.95896,-0.013266177373007443
5.95996,-0.014238530560051536
5.96096,-0.015840928600373234
5.96196,-0.017627209026214827
5.96296,-0.01930559115290155
5.96396,-0.020700281752481065
5.96496,-0.02166525386325149
5.96596,-0.02237434635752736
5.96696,-0.02284516656926289
5.96796,-0.023165367143164955
5.96896,-0.023418339289428675
5.96996,-0.023676747124717103
5.97096,-0.023904355178641565
5.97196,-0.02408238200450614
5.97296,-0.02425064979921028
5.97396,-0.024351813818685047
5.97496,-0.02442166615419496
5.97596,-0.024469104408815168
5.97696,-0.02450341234413903
5.97796,-0.024507463661306315
5.97896,-0.02449728621693599
5.97996,-0.024470757423680285
5.98096,-0.02440549347156602
5.98196,-0.02435287121803637
5.98296,-0.02422187632092288
5.98396,-0.024004660936626437
5.98496,-0.023701907552326533
5.98596,-0.0232499992319382
5.98696,-0.02264769673387803
5.98796,-0.021966192484065335
5.98896,-0.021436526209546964
5.98996,-0.021192276491204955
5.99096,-0.021345889847445707
5.99196,-0.02182536406538255
5.99296,-0.02245882154483195
5.99396,-0.02301937493702508
5.99496,-0.023441673372914924
5.99596,-0.023785917639652154
5.99696,-0.02400954667857211
5.99796,-0.024144777343356138
5.99896,-0.024242318005856016
5.99996,-0.024304359772444495
6.00096,-0.024376354202435183
6.00196,-0.024447060461060717
6.00296,-0.024495479359054717
6.00396,-0.02454187175061792
6.00496,-0.024568698982310747
6.00596,-0.024607651067426694
6.00696,-0.02462744617031462
6.00796,-0.02463887805030618
6.00896,-0.024655229745434118
6.00996,-0.024672008650845144
6.01096,-0.024679160279688642
6.01196,-0.02469531440576225
6.01296,-0.024691557666609062
6.01396,-0.024687933455367
6.01496,-0.02470378541005647
6.01596,-0.024711309221770342
6.01696,-0.024715684419119154
6.01796,-0.024715958478437744
6.01896,-0.024710994362863867
6.01996,-0.024720401219581977
6.02096,-0.02470923316958502
6.02196,-0.024725667870224895
6.02296,-0.024733390912248104
6.02396,-0.024734194362344034
6.02496,-0.024737690040571737
6.02596,-0.0247431543973932
6.02696,-0.024760194153821403
6.02796,-0.02477378071515419
6.02896,-0.02477846814940047
6.02996,-0.024791179645015794
6.03096,-0.02478866413688328
6.03196,-0.02479017181072479
6.03296,-0.024782083724422505
6.03396,-0.024784276795439143
6.03496,-0.024799607614695667
6.03596,-0.024794909622333654
6.03696,-0.024787542251864306
6.03796,-0.024804550761228446
6.03896,-0.024825883305622368
6.03996,-0.024810128025193966
6.04096,-0.024805702174268317
6.04196,-0.02481750960719074
6.04296,-0.024808501110773755
6.04396,-0.024812578634516587
6.04496,-0.02483290524682023
6.04596,-0.0248497189166957
6.04696,-0.024861675013913603
6.04796,-0.02485541665380044
6.04896,-0.024864637815482704
6.04996,-0.02484666805965695
6.05096,-0.024857403259089816
6.05196,-0.02487813784028819
6.05296,-0.024872615847874455
6.05396,-0.024858653500983596
6.05496,-0.024834320660830873
6.05596,-0.024869865892401866
6.05696,-0.024909917216374623
6.05796,-0.024895919897533144
6.05896,-0.024848560686642502
6.05996,-0.024835348215528033
6.06096,-0.024877379430536476
6.06196,-0.024896748113110354
6.06296,-0.02489780467817545
6.06396,-0.024890516968398224
6.06496,-0.024910141094821765
6.06596,-0.024879297651904483
6.06696,-0.024895962730189812
6.06796,-0.02495355627058561
6.06896,-0.02493977218479737
6.06996,-0.024902137957184326
6.07096,-0.02488727022736514
6.07196,-0.02489046161598371
6.07296,-0.024901660446130704
6.07396,-0.024895687404332453
6.07496,-0.024895607157722748
6.07596,-0.0248913287850236
6.07696,-0.02487460575425856
6.07796,-0.024894784724346614
6.07896,-0.024885875895378568
6.07996,-0.02488521530480436
6.08096,-0.024888016528349967
6.08196,-0.024857960114924586
6.08296,-0.024879739310244283
6.08396,-0.024886944799522887
6.08496,-0.024881056806937953
6.08596,-0.024845841703447946
6.08696,-0.024835114555696782
6.08796,-0.02485923521203582
6.08896,-0.02487536474504362
6.08996,-0.02487548991006117
6.09096,-0.024867849310117773
6.09196,-0.024851939177595525
6.09296,-0.024861210819598058
