Model,TopK,Fold,Accuracy,BalancedAccuracy,F1Macro
SVM,30,6,0.23809523809523808,0.10303030303030303,0.05735930735930736
SVM,30,7,0.22727272727272727,0.09090909090909091,0.03496503496503497
SVM,30,8,0.2857142857142857,0.13333333333333333,0.07346189164370982
SVM,30,9,0.09090909090909091,0.03636363636363637,0.015810276679841896
SVM,30,10,0.14285714285714285,0.06666666666666667,0.03673094582185491
SVM,30,11,0.18181818181818182,0.07272727272727274,0.0303030303030303
SVM,30,12,0.19047619047619047,0.09696969696969697,0.05021645021645022
SVM,30,13,0.18181818181818182,0.1,0.07142857142857142
SVM,30,14,0.23809523809523808,0.10303030303030303,0.0606060606060606
SVM,30,15,0.22727272727272727,0.09545454545454546,0.05578512396694215
SVM,30,16,0.2857142857142857,0.1212121212121212,0.06982872200263504
SVM,30,17,0.22727272727272727,0.1,0.07416267942583732
SVM,30,18,0.3333333333333333,0.1515151515151515,0.09327036599763873
SVM,30,19,0.22727272727272727,0.09090909090909091,0.03367003367003367
SVM,30,20,0.14285714285714285,0.06666666666666667,0.036541889483065956
SVM,50,1,0.22727272727272727,0.1,0.07024793388429752
SVM,50,2,0.14285714285714285,0.05454545454545454,0.025974025974025972
SVM,50,3,0.22727272727272727,0.1,0.061765985210961286
SVM,50,4,0.23809523809523808,0.11515151515151514,0.06336088154269973
SVM,50,5,0.09090909090909091,0.03636363636363637,0.01652892561983471
SVM,50,6,0.23809523809523808,0.10303030303030303,0.05735930735930736
SVM,50,7,0.22727272727272727,0.09090909090909091,0.03496503496503497
SVM,50,8,0.2857142857142857,0.13333333333333333,0.07464114832535886
SVM,50,9,0.18181818181818182,0.07272727272727274,0.02909090909090909
SVM,50,10,0.14285714285714285,0.06666666666666667,0.03673094582185491
SVM,50,11,0.22727272727272727,0.09090909090909091,0.03496503496503497
SVM,50,12,0.19047619047619047,0.09696969696969697,0.0506993006993007
SVM,50,13,0.13636363636363635,0.05454545454545454,0.025974025974025972
SVM,50,14,0.19047619047619047,0.08484848484848485,0.04891015417331206
SVM,50,15,0.13636363636363635,0.05909090909090909,0.048484848484848485
SVM,50,16,0.2857142857142857,0.1212121212121212,0.06982872200263504
SVM,50,17,0.2727272727272727,0.11818181818181818,0.08356860530773574
SVM,50,18,0.3333333333333333,0.1515151515151515,0.10013175230566534
SVM,50,19,0.18181818181818182,0.07272727272727274,0.027972027972027972
SVM,50,20,0.14285714285714285,0.06666666666666667,0.03673094582185491
RandomForest,10,1,0.13636363636363635,0.06363636363636363,0.0606060606060606
RandomForest,10,2,0.14285714285714285,0.08181818181818182,0.06233766233766234
RandomForest,10,3,0.09090909090909091,0.06363636363636363,0.0606060606060606
RandomForest,10,4,0.0,0.0,0.0
RandomForest,10,5,0.045454545454545456,0.09090909090909091,0.0202020202020202
RandomForest,10,6,0.14285714285714285,0.2,0.1414141414141414
RandomForest,10,7,0.09090909090909091,0.09090909090909091,0.07575757575757575
RandomForest,10,8,0.14285714285714285,0.12727272727272726,0.08181818181818182
RandomForest,10,9,0.09090909090909091,0.06363636363636363,0.05289256198347107
RandomForest,10,10,0.19047619047619047,0.08484848484848485,0.07988980716253442
RandomForest,10,11,0.09090909090909091,0.11363636363636363,0.08658008658008658
RandomForest,10,12,0.23809523809523808,0.18787878787878787,0.13911845730027547
RandomForest,10,13,0.045454545454545456,0.045454545454545456,0.045454545454545456
RandomForest,10,14,0.14285714285714285,0.05454545454545454,0.03636363636363637
RandomForest,10,15,0.13636363636363635,0.05454545454545454,0.04195804195804196
RandomForest,10,16,0.14285714285714285,0.06666666666666667,0.06233766233766234
RandomForest,10,17,0.13636363636363635,0.13636363636363635,0.0974025974025974
RandomForest,10,18,0.0,0.0,0.0
RandomForest,10,19,0.09090909090909091,0.06818181818181818,0.08658008658008658
RandomForest,10,20,0.19047619047619047,0.2303030303030303,0.14393939393939392
RandomForest,20,1,0.13636363636363635,0.06363636363636363,0.05693296602387512
RandomForest,20,2,0.0,0.0,0.0
RandomForest,20,3,0.0,0.0,0.0
RandomForest,20,4,0.0,0.0,0.0
RandomForest,20,5,0.13636363636363635,0.13636363636363635,0.06818181818181818
RandomForest,20,6,0.14285714285714285,0.21212121212121213,0.1424242424242424
RandomForest,20,7,0.13636363636363635,0.12727272727272726,0.07676767676767676
RandomForest,20,8,0.14285714285714285,0.13939393939393938,0.06955922865013774
RandomForest,20,9,0.09090909090909091,0.13636363636363635,0.09696969696969697
RandomForest,20,10,0.09523809523809523,0.048484848484848485,0.03925619834710744
RandomForest,20,11,0.09090909090909091,0.11363636363636363,0.08333333333333333
RandomForest,20,12,0.14285714285714285,0.09090909090909091,0.0606060606060606
RandomForest,20,13,0.045454545454545456,0.045454545454545456,0.0606060606060606
RandomForest,20,14,0.14285714285714285,0.10909090909090909,0.0808080808080808
RandomForest,20,15,0.0,0.0,0.0
RandomForest,20,16,0.19047619047619047,0.1575757575757576,0.1694214876033058
RandomForest,20,17,0.22727272727272727,0.17727272727272728,0.15505706414797324
RandomForest,20,18,0.09523809523809523,0.048484848484848485,0.0404040404040404
