ppm,global_mean,global_std
5.64496,2.6367521074074074,3.4999929630196807
5.64596,2.568553888888889,3.4537322343123815
5.64696,2.5136879296296293,3.5268795275280977
5.64796,2.5178766925925924,3.474429057364082
5.64896,2.511229797407407,3.404408480497877
5.64996,2.5138533518518518,3.4078981166559843
5.65096,2.4944138518518515,3.225571492758508
5.65196,2.4069414592592597,3.217084384977742
5.65296,2.453396092592593,3.2118376788222442
5.65396,2.451461385185185,3.185686310377633
5.65496,2.4388949296296296,3.207905558109489
5.65596,2.420883344444445,3.181793279239737
5.65696,2.4759863481481483,3.150670821978204
5.65796,2.456852533333333,3.1733317744545007
5.65896,2.524361955555556,3.11162372446274
5.65996,2.535699796296296,3.088622035506812
5.66096,2.4927234777777776,3.0660287037800935
5.66196,2.439708474074074,2.9944086038341373
5.66296,2.435655062962963,2.980812295588055
5.66396,2.4951235925925923,2.9706221487259667
5.66496,2.4476252592592598,2.898577577246232
5.66596,2.388223074074074,3.0128202261723938
5.66696,2.427439296296296,2.9976338419977036
5.66796,2.418014296296296,2.9791710440581216
5.66896,2.338222814814815,2.990554921023299
5.66996,2.333635851851852,3.0342902016184166
5.67096,2.3357724074074073,3.0056723594265984
5.67196,2.3419937037037037,2.9871927567049728
5.67296,2.2803025925925926,3.0414083077660203
5.67396,2.3430945925925926,2.9671882984730433
5.67496,2.285144074074074,2.9496596427919277
5.67596,2.2619628888888887,2.9265948881985615
5.67696,2.2346497037037034,3.010680073629973
5.67796,2.1757567037037036,3.089563586821055
5.67896,2.172066185185185,3.0837334226913735
5.67996,2.2273674814814814,3.0807473439103887
5.68096,2.214898192592593,3.1844893352587236
5.68196,2.1968792444444443,3.189603672714808
5.68296,2.1649345185185185,3.189847015281493
5.68396,2.1056939888888886,3.230283860383033
5.68496,2.134844396296297,3.2772015851417855
5.68596,2.1223433703703702,3.211541036809059
5.68696,2.1265911111111104,3.1944336242352867
5.68796,2.2317415925925923,3.176025399501306
5.68896,2.165842703703704,3.1703325675976464
5.68996,2.163787485185185,3.1929849640572026
5.69096,2.2020742592592595,3.272658882828565
5.69196,2.1897142222222223,3.2944143465069984
5.69296,2.1793234074074075,3.2882688178610007
5.69396,2.1025540814814816,3.2574296282586372
5.69496,2.0695663703703704,3.161984274075275
5.69596,2.1543991259259263,3.0976601400148795
5.69696,2.258190374074074,3.1368836460419156
5.69796,2.2968231111111113,3.2487650432677557
5.69896,2.2654789259259256,3.3264715633026394
5.69996,2.146263125925926,3.2053616595399608
5.70096,2.187167555555556,3.1942978052768565
5.70196,2.174227962962963,3.207308903208033
5.70296,2.1990503703703705,3.095014517991739
5.70396,2.210489888888889,3.0507679930327725
5.70496,2.2738084814814816,3.0374698013207975
5.70596,2.306883111111111,3.0618504095651207
5.70696,2.2394982185185186,3.136382237860649
5.70796,2.1800281851851855,3.120880021509318
5.70896,2.2211003703703702,3.027787351489229
5.70996,2.228979444444444,3.100614364350769
5.71096,2.346104148148148,3.1509910655137947
5.71196,2.3549085185185183,3.1615881915121733
5.71296,2.3145052592592594,3.1817868441686405
5.71396,2.239648688888889,3.1922672578596143
5.71496,2.2333489444444448,3.1946722473006535
5.71596,2.2275395555555555,3.307556336590777
5.71696,2.185176917037037,3.297471261339896
5.71796,2.1501740000000003,3.2952347841841987
5.71896,2.1226869629629626,3.2853722141293775
5.71996,2.1113177999999997,3.2709910199878367
5.72096,2.1894568518518516,3.3365806992858964
5.72196,2.1265866666666664,3.360404999096389
5.72296,2.1020070777777784,3.357670426865559
5.72396,2.1452584444444445,3.3632280242163657
5.72496,2.165625925925926,3.241376852868934
5.72596,2.1352732148148146,3.2517424137018627
5.72696,2.107337962962963,3.3378934479066
5.72796,2.139542670370371,3.4077304846337655
5.72896,2.1306255925925925,3.413062119694639
5.72996,2.117514988888889,3.3926026903267084
5.73096,2.1859256148148147,3.3702200167012575
5.73196,2.1711552962962966,3.3676176606402315
5.73296,2.1218571111111113,3.3600939719786314
5.73396,2.1802945185185187,3.3305447029916824
5.73496,2.240305962962963,3.3258947018869587
5.73596,2.3142118333333332,3.3386871446228485
5.73696,2.326202037037037,3.357085455489169
5.73796,2.3416806296296295,3.378726081384106
5.73896,2.3369539444444447,3.367900741240725
5.73996,2.277815418518518,3.3622086856341684
5.74096,2.3565022407407406,3.3536799958900465
5.74196,2.313542474074074,3.359693264720466
5.74296,2.240527577777778,3.2670349019145943
5.74396,2.255648762962963,3.3169321489875743
5.74496,2.187504851851852,3.2642056666843358
5.74596,2.2045777037037038,3.2691897431570025
5.74696,2.250242074074074,3.22616252435977
5.74796,2.200082185185185,3.2735399512259584
5.74896,2.195788311111111,3.3891910166860457
5.74996,2.1481322592592593,3.3553005666655986
5.75096,2.1619188888888887,3.3541652826232546
5.75196,2.22149037037037,3.419143056634894
5.75296,2.181534111111111,3.453541163757607
5.75396,2.1562468148148146,3.501967274259787
5.75496,2.1233448851851855,3.5084752539102353
5.75596,2.2538402222222222,3.5457476919688453
5.75696,2.287427037037037,3.672526240635643
5.75796,2.2356086666666664,3.571970609926901
5.75896,2.2406895185185185,3.4953904161741822
5.75996,2.2968552962962963,3.5014464120041593
5.76096,2.2609893333333337,3.489460327043371
5.76196,2.231454111111111,3.4710126290911485
5.76296,2.177908748148148,3.426394224887633
5.76396,2.2798822740740743,3.445915354505898
5.76496,2.300204185185185,3.4757516279034713
5.76596,2.350296851851852,3.4913785966734383
5.76696,2.438500703703704,3.4718345047782666
5.76796,2.461172137037037,3.514090426518565
5.76896,2.4090772592592593,3.516055677081231
5.76996,2.4142484407407405,3.517239610342746
5.77096,2.443745237037037,3.4917329515439053
5.77196,2.421222259259259,3.4040375697631378
5.77296,2.366998333333333,3.329500266640303
5.77396,2.4608592222222225,3.3591359920787207
5.77496,2.4199002962962965,3.3557018017156213
5.77596,2.419670014814815,3.388171774336357
5.77696,2.3839199259259263,3.459184336772995
5.77796,2.4309625185185184,3.491224723877996
5.77896,2.5402182222222227,3.3569923621277904
5.77996,2.5474801481481477,3.1944848263646484
5.78096,2.4684778148148148,3.107547258517357
5.78196,2.3925515925925924,3.1423993917397564
5.78296,2.4630229629629627,3.2351411905926604
5.78396,2.552777222222222,3.234264781433977
5.78496,2.5592193333333335,3.136787442040084
5.78596,2.5528657777777775,3.132935183690413
5.78696,2.511039560666666,3.1188578354206293
5.78796,2.5636988518518518,3.2041646492356453
5.78896,2.5728361148148156,3.247019211666375
5.78996,2.561674388888889,3.350478980915792
5.79096,2.5669172888888885,3.283788214223809
5.79196,2.5721830000000008,3.2284139698480887
5.79296,2.5400129222222216,3.1686935810904195
5.79396,2.506276962962963,3.197153686099739
5.79496,2.61275925925926,3.246969935407216
5.79596,2.6154265925925926,3.338722910518146
5.79696,2.604786777777778,3.2918935020744553
5.79796,2.550717259259259,3.2309684080388927
5.79896,2.514425185185185,3.2539777876014395
5.79996,2.5738399629629636,3.235442938850505
5.80096,2.561474888888889,3.186595355286107
5.80196,2.529859037037037,3.1052715297869593
5.80296,2.541281333333333,3.207550167425993
5.80396,2.5649007037037035,3.2604130941810494
